incident_id,injection_start,injection_end,fault_type,target_service
INC-001,2026-05-29T05:29:14Z,2026-05-29T05:30:17Z,cpu_stress,recommendationservice
INC-002,2026-05-29T05:33:54Z,2026-05-29T05:34:57Z,pod_kill,cartservice
INC-003,2026-05-29T05:41:57Z,2026-05-29T05:43:00Z,cpu_stress,recommendationservice
INC-004,2026-05-29T05:46:52Z,2026-05-29T05:47:56Z,pod_kill,cartservice
INC-005,2026-05-29T05:54:55Z,2026-05-29T05:55:59Z,cpu_stress,recommendationservice
INC-006,2026-05-29T06:00:14Z,2026-05-29T06:01:18Z,pod_kill,cartservice
INC-007,2026-05-29T06:07:42Z,2026-05-29T06:08:46Z,cpu_stress,recommendationservice
INC-008,2026-05-29T06:12:22Z,2026-05-29T06:13:25Z,pod_kill,cartservice
INC-009,2026-05-29T06:19:52Z,2026-05-29T06:20:55Z,cpu_stress,recommendationservice
INC-010,2026-05-29T06:24:41Z,2026-05-29T06:25:45Z,pod_kill,cartservice
INC-011,2026-05-29T06:31:48Z,2026-05-29T06:32:52Z,cpu_stress,recommendationservice
INC-012,2026-05-29T06:36:23Z,2026-05-29T06:37:26Z,pod_kill,cartservice
INC-013,2026-05-29T06:44:08Z,2026-05-29T06:45:11Z,cpu_stress,recommendationservice
INC-014,2026-05-29T06:49:36Z,2026-05-29T06:50:39Z,pod_kill,cartservice
INC-015,2026-05-29T06:56:47Z,2026-05-29T06:57:50Z,cpu_stress,recommendationservice
INC-016,2026-05-29T07:02:13Z,2026-05-29T07:03:16Z,pod_kill,cartservice
INC-017,2026-05-29T07:09:44Z,2026-05-29T07:10:47Z,cpu_stress,recommendationservice
INC-018,2026-05-29T07:14:23Z,2026-05-29T07:15:27Z,pod_kill,cartservice
INC-019,2026-05-29T07:22:20Z,2026-05-29T07:23:23Z,cpu_stress,recommendationservice
INC-020,2026-05-29T07:27:00Z,2026-05-29T07:28:03Z,pod_kill,cartservice
