incident_id,injection_start,injection_end,fault_type,target_service
INC-001,2026-05-29T09:48:52Z,2026-05-29T09:49:55Z,cpu_stress,recommendationservice
INC-002,2026-05-29T09:53:26Z,2026-05-29T09:54:29Z,pod_kill,cartservice
INC-003,2026-05-29T10:00:40Z,2026-05-29T10:01:43Z,cpu_stress,recommendationservice
INC-004,2026-05-29T10:06:09Z,2026-05-29T10:07:12Z,pod_kill,cartservice
INC-005,2026-05-29T10:13:17Z,2026-05-29T10:14:20Z,cpu_stress,recommendationservice
INC-006,2026-05-29T10:18:07Z,2026-05-29T10:19:11Z,pod_kill,cartservice
INC-007,2026-05-29T10:26:10Z,2026-05-29T10:27:13Z,cpu_stress,recommendationservice
INC-008,2026-05-29T10:30:51Z,2026-05-29T10:31:54Z,pod_kill,cartservice
INC-009,2026-05-29T10:38:44Z,2026-05-29T10:39:47Z,cpu_stress,recommendationservice
INC-010,2026-05-29T10:44:01Z,2026-05-29T10:45:04Z,pod_kill,cartservice
INC-011,2026-05-29T10:51:39Z,2026-05-29T10:52:42Z,cpu_stress,recommendationservice
INC-012,2026-05-29T10:56:48Z,2026-05-29T10:57:51Z,pod_kill,cartservice
INC-013,2026-05-29T11:04:10Z,2026-05-29T11:05:14Z,cpu_stress,recommendationservice
INC-014,2026-05-29T11:08:50Z,2026-05-29T11:09:53Z,pod_kill,cartservice
INC-015,2026-05-29T11:16:35Z,2026-05-29T11:17:38Z,cpu_stress,recommendationservice
INC-016,2026-05-29T11:21:34Z,2026-05-29T11:22:37Z,pod_kill,cartservice
INC-017,2026-05-29T11:29:28Z,2026-05-29T11:30:31Z,cpu_stress,recommendationservice
INC-018,2026-05-29T11:34:09Z,2026-05-29T11:35:12Z,pod_kill,cartservice
INC-019,2026-05-29T11:41:39Z,2026-05-29T11:42:43Z,cpu_stress,recommendationservice
INC-020,2026-05-29T11:46:49Z,2026-05-29T11:47:52Z,pod_kill,cartservice
