incident_id,root_cause_service,root_cause_dims,fault_type
INC-001,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-002,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-003,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-004,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-005,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-006,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-007,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-008,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-009,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-010,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-011,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-012,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-013,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-014,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-015,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-016,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-017,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-018,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-019,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-020,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-021,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-022,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-023,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-024,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-025,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-026,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-027,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-028,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-029,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-030,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-031,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-032,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-033,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-034,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-035,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-036,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-037,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-038,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-039,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-040,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-041,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-042,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-043,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-044,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-045,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-046,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-047,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-048,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-049,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-050,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-051,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-052,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-053,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-054,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-055,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-056,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-057,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-058,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
INC-059,recommendationservice,recommendationservice_cpu_usage;recommendationservice_latency_p95,cpu_stress
INC-060,cartservice,cartservice_restart_count;cartservice_error_rate;cartservice_qps,pod_kill
