feature_name,service,metric_type,unit,source,model_input,expected_min,expected_max
frontend_qps,frontend,qps,req/s,prometheus,True,0,10000
frontend_latency_p95,frontend,latency_p95,ms,prometheus,True,0,60000
frontend_error_rate,frontend,error_rate,ratio,prometheus,True,0,1
frontend_cpu_usage,frontend,cpu_usage,cores,prometheus,True,0,16
frontend_memory_usage,frontend,memory_usage,MiB,prometheus,True,0,8192
frontend_restart_count,frontend,restart_count,count,prometheus,True,0,100
cartservice_qps,cartservice,qps,req/s,prometheus,True,0,10000
cartservice_latency_p95,cartservice,latency_p95,ms,prometheus,True,0,60000
cartservice_error_rate,cartservice,error_rate,ratio,prometheus,True,0,1
cartservice_cpu_usage,cartservice,cpu_usage,cores,prometheus,True,0,16
cartservice_memory_usage,cartservice,memory_usage,MiB,prometheus,True,0,8192
cartservice_restart_count,cartservice,restart_count,count,prometheus,True,0,100
checkoutservice_qps,checkoutservice,qps,req/s,prometheus,True,0,10000
checkoutservice_latency_p95,checkoutservice,latency_p95,ms,prometheus,True,0,60000
checkoutservice_error_rate,checkoutservice,error_rate,ratio,prometheus,True,0,1
checkoutservice_cpu_usage,checkoutservice,cpu_usage,cores,prometheus,True,0,16
checkoutservice_memory_usage,checkoutservice,memory_usage,MiB,prometheus,True,0,8192
checkoutservice_restart_count,checkoutservice,restart_count,count,prometheus,True,0,100
currencyservice_qps,currencyservice,qps,req/s,prometheus,True,0,10000
currencyservice_latency_p95,currencyservice,latency_p95,ms,prometheus,True,0,60000
currencyservice_error_rate,currencyservice,error_rate,ratio,prometheus,True,0,1
currencyservice_cpu_usage,currencyservice,cpu_usage,cores,prometheus,True,0,16
currencyservice_memory_usage,currencyservice,memory_usage,MiB,prometheus,True,0,8192
currencyservice_restart_count,currencyservice,restart_count,count,prometheus,True,0,100
emailservice_qps,emailservice,qps,req/s,prometheus,True,0,10000
emailservice_latency_p95,emailservice,latency_p95,ms,prometheus,True,0,60000
emailservice_error_rate,emailservice,error_rate,ratio,prometheus,True,0,1
emailservice_cpu_usage,emailservice,cpu_usage,cores,prometheus,True,0,16
emailservice_memory_usage,emailservice,memory_usage,MiB,prometheus,True,0,8192
emailservice_restart_count,emailservice,restart_count,count,prometheus,True,0,100
paymentservice_qps,paymentservice,qps,req/s,prometheus,True,0,10000
paymentservice_latency_p95,paymentservice,latency_p95,ms,prometheus,True,0,60000
paymentservice_error_rate,paymentservice,error_rate,ratio,prometheus,True,0,1
paymentservice_cpu_usage,paymentservice,cpu_usage,cores,prometheus,True,0,16
paymentservice_memory_usage,paymentservice,memory_usage,MiB,prometheus,True,0,8192
paymentservice_restart_count,paymentservice,restart_count,count,prometheus,True,0,100
productcatalogservice_qps,productcatalogservice,qps,req/s,prometheus,True,0,10000
productcatalogservice_latency_p95,productcatalogservice,latency_p95,ms,prometheus,True,0,60000
productcatalogservice_error_rate,productcatalogservice,error_rate,ratio,prometheus,True,0,1
productcatalogservice_cpu_usage,productcatalogservice,cpu_usage,cores,prometheus,True,0,16
productcatalogservice_memory_usage,productcatalogservice,memory_usage,MiB,prometheus,True,0,8192
productcatalogservice_restart_count,productcatalogservice,restart_count,count,prometheus,True,0,100
recommendationservice_qps,recommendationservice,qps,req/s,prometheus,True,0,10000
recommendationservice_latency_p95,recommendationservice,latency_p95,ms,prometheus,True,0,60000
recommendationservice_error_rate,recommendationservice,error_rate,ratio,prometheus,True,0,1
recommendationservice_cpu_usage,recommendationservice,cpu_usage,cores,prometheus,True,0,16
recommendationservice_memory_usage,recommendationservice,memory_usage,MiB,prometheus,True,0,8192
recommendationservice_restart_count,recommendationservice,restart_count,count,prometheus,True,0,100
shippingservice_qps,shippingservice,qps,req/s,prometheus,True,0,10000
shippingservice_latency_p95,shippingservice,latency_p95,ms,prometheus,True,0,60000
shippingservice_error_rate,shippingservice,error_rate,ratio,prometheus,True,0,1
shippingservice_cpu_usage,shippingservice,cpu_usage,cores,prometheus,True,0,16
shippingservice_memory_usage,shippingservice,memory_usage,MiB,prometheus,True,0,8192
shippingservice_restart_count,shippingservice,restart_count,count,prometheus,True,0,100
adservice_qps,adservice,qps,req/s,prometheus,True,0,10000
adservice_latency_p95,adservice,latency_p95,ms,prometheus,True,0,60000
adservice_error_rate,adservice,error_rate,ratio,prometheus,True,0,1
adservice_cpu_usage,adservice,cpu_usage,cores,prometheus,True,0,16
adservice_memory_usage,adservice,memory_usage,MiB,prometheus,True,0,8192
adservice_restart_count,adservice,restart_count,count,prometheus,True,0,100
redis-cart_cpu_usage,redis-cart,cpu_usage,cores,prometheus,True,0,16
redis-cart_memory_usage,redis-cart,memory_usage,MiB,prometheus,True,0,8192
redis-cart_restart_count,redis-cart,restart_count,count,prometheus,True,0,100
