incident_id,injection_start,injection_end,effect_start,effect_end,recovery_end,fault_type,target_service,root_cause_service,severity,duration_sec,valid_incident,root_cause_dims,secondary_dims
INC-001,2026-05-30T10:34:26Z,2026-05-30T10:35:30Z,2026-05-30T10:34:31Z,2026-05-30T10:35:30Z,2026-05-30T10:36:00Z,cpu_stress,recommendationservice,recommendationservice,high,60,True,recommendationservice_cpu_usage;recommendationservice_latency_p95,frontend_latency_p95
INC-002,2026-05-30T10:40:23Z,2026-05-30T10:41:27Z,2026-05-30T10:40:28Z,2026-05-30T10:41:27Z,2026-05-30T10:42:27Z,pod_kill,cartservice,cartservice,critical,60,True,cartservice_restart_count;cartservice_error_rate;cartservice_qps,frontend_error_rate
INC-003,2026-05-30T10:47:27Z,2026-05-30T10:48:30Z,2026-05-30T10:47:32Z,2026-05-30T10:48:30Z,2026-05-30T10:49:00Z,cpu_stress,recommendationservice,recommendationservice,high,60,True,recommendationservice_cpu_usage;recommendationservice_latency_p95,frontend_latency_p95
INC-004,2026-05-30T10:53:02Z,2026-05-30T10:54:05Z,2026-05-30T10:53:07Z,2026-05-30T10:54:05Z,2026-05-30T10:55:05Z,pod_kill,cartservice,cartservice,critical,60,True,cartservice_restart_count;cartservice_error_rate;cartservice_qps,frontend_error_rate
INC-005,2026-05-30T10:59:59Z,2026-05-30T11:01:02Z,2026-05-30T11:00:04Z,2026-05-30T11:01:02Z,2026-05-30T11:01:32Z,cpu_stress,recommendationservice,recommendationservice,high,60,True,recommendationservice_cpu_usage;recommendationservice_latency_p95,frontend_latency_p95
INC-006,2026-05-30T11:06:32Z,2026-05-30T11:07:35Z,2026-05-30T11:06:37Z,2026-05-30T11:07:35Z,2026-05-30T11:08:35Z,pod_kill,cartservice,cartservice,critical,60,True,cartservice_restart_count;cartservice_error_rate;cartservice_qps,frontend_error_rate
INC-007,2026-05-30T11:13:29Z,2026-05-30T11:14:32Z,2026-05-30T11:13:34Z,2026-05-30T11:14:32Z,2026-05-30T11:15:02Z,cpu_stress,recommendationservice,recommendationservice,high,60,True,recommendationservice_cpu_usage;recommendationservice_latency_p95,frontend_latency_p95
INC-008,2026-05-30T11:19:54Z,2026-05-30T11:20:57Z,2026-05-30T11:19:59Z,2026-05-30T11:20:57Z,2026-05-30T11:21:57Z,pod_kill,cartservice,cartservice,critical,60,True,cartservice_restart_count;cartservice_error_rate;cartservice_qps,frontend_error_rate
INC-009,2026-05-30T11:26:12Z,2026-05-30T11:27:15Z,2026-05-30T11:26:17Z,2026-05-30T11:27:15Z,2026-05-30T11:27:45Z,cpu_stress,recommendationservice,recommendationservice,high,60,True,recommendationservice_cpu_usage;recommendationservice_latency_p95,frontend_latency_p95
INC-010,2026-05-30T11:31:01Z,2026-05-30T11:32:05Z,2026-05-30T11:31:06Z,2026-05-30T11:32:05Z,2026-05-30T11:33:05Z,pod_kill,cartservice,cartservice,critical,60,True,cartservice_restart_count;cartservice_error_rate;cartservice_qps,frontend_error_rate
