incident_id,fault_type,target_service,effect_start,effect_end,detected,first_alarm_time,delay_seconds,detected_within_15s,detected_within_30s,detected_within_60s
online_boutique_rca_6/INC-001,cpu_stress,recommendationservice,2026-05-30T13:01:02Z,2026-05-30T13:02:00Z,True,2026-05-30T13:01:27Z,25.0,False,True,True
online_boutique_rca_6/INC-002,pod_kill,cartservice,2026-05-30T13:07:21Z,2026-05-30T13:08:19Z,True,2026-05-30T13:07:32Z,11.0,True,True,True
online_boutique_rca_6/INC-003,cpu_stress,recommendationservice,2026-05-30T13:13:54Z,2026-05-30T13:14:52Z,True,2026-05-30T13:14:52Z,58.0,False,False,True
online_boutique_rca_6/INC-004,pod_kill,cartservice,2026-05-30T13:19:22Z,2026-05-30T13:20:21Z,True,2026-05-30T13:19:27Z,5.0,True,True,True
online_boutique_rca_6/INC-005,cpu_stress,recommendationservice,2026-05-30T13:24:38Z,2026-05-30T13:25:36Z,True,2026-05-30T13:25:22Z,44.0,False,False,True
online_boutique_rca_6/INC-006,pod_kill,cartservice,2026-05-30T13:31:00Z,2026-05-30T13:31:58Z,True,2026-05-30T13:31:12Z,12.0,True,True,True
online_boutique_rca_6/INC-007,cpu_stress,recommendationservice,2026-05-30T13:36:40Z,2026-05-30T13:37:38Z,True,2026-05-30T13:37:27Z,47.0,False,False,True
online_boutique_rca_6/INC-008,pod_kill,cartservice,2026-05-30T13:43:02Z,2026-05-30T13:44:00Z,True,2026-05-30T13:43:17Z,15.0,True,True,True
online_boutique_rca_6/INC-009,cpu_stress,recommendationservice,2026-05-30T13:48:14Z,2026-05-30T13:49:13Z,True,2026-05-30T13:49:02Z,48.0,False,False,True
online_boutique_rca_6/INC-010,pod_kill,cartservice,2026-05-30T13:53:45Z,2026-05-30T13:54:43Z,True,2026-05-30T13:53:57Z,12.0,True,True,True
online_boutique_rca_6/INC-011,cpu_stress,recommendationservice,2026-05-30T14:00:47Z,2026-05-30T14:01:45Z,True,2026-05-30T14:01:42Z,55.0,False,False,True
online_boutique_rca_6/INC-012,pod_kill,cartservice,2026-05-30T14:07:18Z,2026-05-30T14:08:16Z,True,2026-05-30T14:07:32Z,14.0,True,True,True
online_boutique_rca_6/INC-013,cpu_stress,recommendationservice,2026-05-30T14:14:05Z,2026-05-30T14:15:04Z,True,2026-05-30T14:14:42Z,37.0,False,False,True
online_boutique_rca_6/INC-014,pod_kill,cartservice,2026-05-30T14:19:52Z,2026-05-30T14:20:50Z,True,2026-05-30T14:20:02Z,10.0,True,True,True
online_boutique_rca_6/INC-015,cpu_stress,recommendationservice,2026-05-30T14:26:46Z,2026-05-30T14:27:44Z,True,2026-05-30T14:27:22Z,36.0,False,False,True
online_boutique_rca_6/INC-016,pod_kill,cartservice,2026-05-30T14:32:59Z,2026-05-30T14:33:58Z,True,2026-05-30T14:33:12Z,13.0,True,True,True
online_boutique_rca_6/INC-017,cpu_stress,recommendationservice,2026-05-30T14:39:57Z,2026-05-30T14:40:56Z,True,2026-05-30T14:40:42Z,45.0,False,False,True
online_boutique_rca_6/INC-018,pod_kill,cartservice,2026-05-30T14:45:10Z,2026-05-30T14:46:09Z,True,2026-05-30T14:45:22Z,12.0,True,True,True
online_boutique_rca_6/INC-019,cpu_stress,recommendationservice,2026-05-30T14:51:26Z,2026-05-30T14:52:24Z,True,2026-05-30T14:52:02Z,36.0,False,False,True
online_boutique_rca_6/INC-020,pod_kill,cartservice,2026-05-30T14:56:07Z,2026-05-30T14:57:06Z,True,2026-05-30T14:56:17Z,10.0,True,True,True
online_boutique_rca_7/INC-001,cpu_stress,recommendationservice,2026-05-30T15:07:18Z,2026-05-30T15:08:17Z,True,2026-05-30T15:07:38Z,20.0,False,True,True
online_boutique_rca_7/INC-002,pod_kill,cartservice,2026-05-30T15:13:18Z,2026-05-30T15:14:17Z,True,2026-05-30T15:13:33Z,15.0,True,True,True
online_boutique_rca_7/INC-003,cpu_stress,recommendationservice,2026-05-30T15:18:37Z,2026-05-30T15:19:36Z,True,2026-05-30T15:19:33Z,56.0,False,False,True
online_boutique_rca_7/INC-004,pod_kill,cartservice,2026-05-30T15:25:05Z,2026-05-30T15:26:04Z,True,2026-05-30T15:25:18Z,13.0,True,True,True
online_boutique_rca_7/INC-005,cpu_stress,recommendationservice,2026-05-30T15:31:08Z,2026-05-30T15:32:06Z,True,2026-05-30T15:31:53Z,45.0,False,False,True
online_boutique_rca_7/INC-006,pod_kill,cartservice,2026-05-30T15:36:43Z,2026-05-30T15:37:41Z,True,2026-05-30T15:36:53Z,10.0,True,True,True
online_boutique_rca_7/INC-007,cpu_stress,recommendationservice,2026-05-30T15:42:39Z,2026-05-30T15:43:38Z,False,,,False,False,False
online_boutique_rca_7/INC-008,pod_kill,cartservice,2026-05-30T15:48:42Z,2026-05-30T15:49:40Z,True,2026-05-30T15:48:53Z,11.0,True,True,True
online_boutique_rca_7/INC-009,cpu_stress,recommendationservice,2026-05-30T15:54:47Z,2026-05-30T15:55:45Z,True,2026-05-30T15:55:43Z,56.0,False,False,True
online_boutique_rca_7/INC-010,pod_kill,cartservice,2026-05-30T16:00:12Z,2026-05-30T16:01:11Z,True,2026-05-30T16:00:23Z,11.0,True,True,True
online_boutique_rca_7/INC-011,cpu_stress,recommendationservice,2026-05-30T16:06:45Z,2026-05-30T16:07:43Z,True,2026-05-30T16:07:28Z,43.0,False,False,True
online_boutique_rca_7/INC-012,pod_kill,cartservice,2026-05-30T16:12:57Z,2026-05-30T16:13:56Z,True,2026-05-30T16:13:13Z,16.0,False,True,True
online_boutique_rca_7/INC-013,cpu_stress,recommendationservice,2026-05-30T16:18:06Z,2026-05-30T16:19:04Z,True,2026-05-30T16:18:53Z,47.0,False,False,True
online_boutique_rca_7/INC-014,pod_kill,cartservice,2026-05-30T16:23:37Z,2026-05-30T16:24:36Z,True,2026-05-30T16:23:48Z,11.0,True,True,True
online_boutique_rca_7/INC-015,cpu_stress,recommendationservice,2026-05-30T16:30:29Z,2026-05-30T16:31:27Z,True,2026-05-30T16:31:08Z,39.0,False,False,True
online_boutique_rca_7/INC-016,pod_kill,cartservice,2026-05-30T16:35:24Z,2026-05-30T16:36:22Z,True,2026-05-30T16:35:38Z,14.0,True,True,True
online_boutique_rca_7/INC-017,cpu_stress,recommendationservice,2026-05-30T16:40:51Z,2026-05-30T16:41:49Z,True,2026-05-30T16:41:33Z,42.0,False,False,True
online_boutique_rca_7/INC-018,pod_kill,cartservice,2026-05-30T16:45:26Z,2026-05-30T16:46:24Z,True,2026-05-30T16:45:38Z,12.0,True,True,True
online_boutique_rca_7/INC-019,cpu_stress,recommendationservice,2026-05-30T16:52:00Z,2026-05-30T16:52:59Z,True,2026-05-30T16:52:08Z,8.0,True,True,True
online_boutique_rca_7/INC-020,pod_kill,cartservice,2026-05-30T16:56:57Z,2026-05-30T16:57:55Z,True,2026-05-30T16:57:03Z,6.0,True,True,True
